Name,URL,Price,Location
Spacious And Bright Studio!!!,http://sfbay.craigslist.org/sby/apa/d/spacious-and-bright-studio/6216595645.html,$1500, (san jose west)
Beautifully Furnished Ground Floor Loft Style Studio Apartment,http://sfbay.craigslist.org/sby/apa/d/beautifully-furnished/6212604798.html,$1500, (santa clara)
Spacious And Bright Studio!!!,http://sfbay.craigslist.org/sby/apa/d/spacious-and-bright-studio/6227060124.html,$1500, (san jose west)
Affordable small studio at Cupertino with parking space,http://sfbay.craigslist.org/sby/apa/d/affordable-small-studio-at/6223472713.html,$1340, (Cupertino)
Studio in Downtown SoFA District! All Utilities Paid! Available 08/01!,http://sfbay.craigslist.org/sby/apa/d/studio-in-downtown-sofa/6227001611.html,$1495, (san jose downtown)
studio unit for rent s 3rd st cross virginia st close to SJSU,http://sfbay.craigslist.org/sby/apa/d/studio-unit-for-rent-rd-st/6211653081.html,$1450, (san jose downtown)
Beautiful Studio Apartment,http://sfbay.craigslist.org/sby/apa/d/beautiful-studio-apartment/6226654184.html,$1400, (san jose downtown)
Downtown Studio Apartment with Large Kitchen,http://sfbay.craigslist.org/sby/apa/d/downtown-studio-apartment/6215249068.html,$1450, (san jose downtown)
Leigh Garden Apartments | Studio | New Flooring | New Blinds,http://sfbay.craigslist.org/sby/apa/d/leigh-garden-apartments/6214829471.html,$1495, (san jose west)
Spacious And Bright Studio!!!,http://sfbay.craigslist.org/sby/apa/d/spacious-and-bright-studio/6199750575.html,$1500, (san jose west)
Spacious And Bright Studio!!!,http://sfbay.craigslist.org/sby/apa/d/spacious-and-bright-studio/6215422902.html,$1500, (san jose west)
Private studio,http://sfbay.craigslist.org/sby/apa/d/private-studio/6225352249.html,$1400, (san jose east)
Cozy studio in Downtown San Jose,http://sfbay.craigslist.org/sby/apa/d/cozy-studio-in-downtown-san/6224490652.html,$1025, (san jose downtown)
Spacious And Bright Studio!!!,http://sfbay.craigslist.org/sby/apa/d/spacious-and-bright-studio/6199699646.html,$1500, (san jose west)
-SAN JOSE 1 BEDROOM STUDIO FOR RENT****NEW-JUST REMODEL******,http://sfbay.craigslist.org/sby/apa/d/san-jose-bedroom-studio-for/6211813421.html,$1495, (san jose east)
-SAN JOSE 1 BEDROOM STUDIO UNIT FOR RENT*** BRAND NEW JUST REMODEL***,http://sfbay.craigslist.org/sby/apa/d/san-jose-bedroom-studio/6211822379.html,$1495, (san jose east)
"Insulated Garage Converted to Studio Rental  $1,500",http://sfbay.craigslist.org/sby/apa/d/insulated-garage-converted/6215042168.html,$1500, (san jose east)
"studio in a quiet, beautiful park-like setting",http://sfbay.craigslist.org/sby/apa/d/studio-in-quiet-beautiful/6202608571.html,$1295, (san jose south)
Studio,http://sfbay.craigslist.org/sby/apa/d/studio/6222054795.html,$1500, (san jose downtown)
One Bedroom studio with private entrance and parking,http://sfbay.craigslist.org/sby/apa/d/one-bedroom-studio-with/6221630269.html,$1200, (milpitas)
Clean and Spacious Studio for Rent,http://sfbay.craigslist.org/sby/apa/d/clean-and-spacious-studio/6221317733.html,$1250, (willow glen / cambrian)
Large Split Level Studio,http://sfbay.craigslist.org/sby/apa/d/large-split-level-studio/6220494596.html,$1500, (san jose downtown)
Studio cottage in Los Gatos mountains,http://sfbay.craigslist.org/sby/apa/d/studio-cottage-in-los-gatos/6188316951.html,$1400, (los gatos)
Semi-Studio  Furnished $1200 per month,http://sfbay.craigslist.org/sby/apa/d/semi-studio-furnished-per/6218087830.html,$1200, (Evergreen)
Easy commute Cupertino/saratoga/Sunnyvale/Santa Clara Studio,http://sfbay.craigslist.org/sby/apa/d/easy-commute-cupertino/6218034909.html,$1400, (saratoga)
PRIVATE 1 BED/1 BATH STUDIO IN SAN MARTIN FOR 1 PERSON ONLY,http://sfbay.craigslist.org/sby/apa/d/private-bed-bath-studio-in/6217339687.html,$1175, (morgan hill)
Spacious And Bright Studio!!!,http://sfbay.craigslist.org/sby/apa/d/spacious-and-bright-studio/6178334680.html,$1500, (san jose west)
"Brand New Remodeled Cupertino Studio, Private Entry, Stand Alone",http://sfbay.craigslist.org/sby/apa/d/brand-new-remodeled/6225405569.html,$1388, (cupertino)
Sunnyvale Studio (150 sqare feet) for rent,http://sfbay.craigslist.org/sby/apa/d/sunnyvale-studio-sqare-feet/6224843363.html,$1500, (sunnyvale)
Nice and clean  studio,http://sfbay.craigslist.org/sby/apa/d/nice-and-clean-studio/6223828289.html,$1200, (san jose south)
"San Jose PRIVATE STUDIO: UTILITIES, CABLE, INTERNET, W/D",http://sfbay.craigslist.org/sby/apa/d/san-jose-private-studio/6222912766.html,$1450, (san jose north)
SAN JOSE: PRIVATE STUDIO- UTILITIES INCLUDED!  W/D! MOVE-IN READY,http://sfbay.craigslist.org/sby/apa/d/san-jose-private-studio/6205009913.html,$1450, (san jose north)
-SAN JOSE 1 BEDROOM STUDIO UNIT FOR RENT***BRAND NEW JUST REMODEL***,http://sfbay.craigslist.org/sby/apa/d/san-jose-bedroom-studio/6211838145.html,$1495, (san jose east)
$1350 furnished no kitchen studio internet-utilities inclunded,http://sfbay.craigslist.org/sby/apa/d/furnished-no-kitchen-studio/6220161132.html,$1350, (sunnyvale)
Cute studio cottage,http://sfbay.craigslist.org/sby/apa/d/cute-studio-cottage/6220047243.html,$1500, (san jose downtown)
'''Studio For Rent- Near Santana Row''',http://sfbay.craigslist.org/sby/apa/d/studio-for-rent-near/6218970420.html,$1400, (san jose west)
***Studio For Rent- Near Santana Row***,http://sfbay.craigslist.org/sby/apa/d/studio-for-rent-near/6218956509.html,$1400, (san jose west)
Studio For Rent- Near Santana Row,http://sfbay.craigslist.org/sby/apa/d/studio-for-rent-near/6218938314.html,$1400, (san jose west)
$1450 furnished efficiency studio for rent internet-utilities included,http://sfbay.craigslist.org/sby/apa/d/furnished-efficiency-studio/6218655219.html,$1450, (sunnyvale)
"StudioRoom with Private Bath-Includes all utilities,CableTV & Internet",http://sfbay.craigslist.org/sby/apa/d/studioroom-with-private/6221399527.html,$1175, (san jose downtown)
"Fully equipped kitchens, Walk-in closets,apply online",http://sfbay.craigslist.org/sby/apa/d/fully-equipped-kitchens/6226522347.html,$1259, (san jose south)
Apartment,http://sfbay.craigslist.org/sby/apa/d/apartment/6222890006.html,$1450, (morgan hill)
